vehicle_type,service_type,vehicle_age,kilometers_driven,fuel_type,engine_type,previous_services,actual_cost
SUV,Major,6,83901,Hybrid,Automatic,8,21770
Car,General,7,64356,EV,Automatic,12,4020
SUV,Major,6,70879,Petrol,Automatic,8,17320
Bike,Major,10,70695,Petrol,Manual,14,2480
Bike,Major,6,54965,Petrol,Manual,9,1640
Bike,General,6,41888,Petrol,Manual,8,920
Bike,General,1,10962,Petrol,Manual,1,700
Bike,Major,2,16832,Petrol,Manual,2,2270
SUV,General,6,92067,Diesel,Automatic,9,8710
SUV,Major,10,133541,Diesel,Automatic,16,31280
Car,Major,11,131805,Hybrid,Manual,16,18600
Bike,General,7,51438,Petrol,Manual,9,800
Car,Major,11,125648,Petrol,Automatic,15,18110
Scooty,Repair,6,29698,Petrol,Automatic,10,1950
Car,Major,3,49895,Petrol,Manual,4,11800
Car,General,3,42099,Petrol,Automatic,4,3840
Car,Repair,5,62431,Petrol,Manual,7,10860
Bike,General,6,38564,Petrol,Manual,7,860
Scooty,General,8,61569,Petrol,Automatic,14,970
Car,General,12,118714,Diesel,Manual,16,6030
Electric Bike,General,2,12489,EV,Automatic,2,730
Bike,General,3,29896,Petrol,Manual,3,620
Car,General,11,173125,Petrol,Manual,17,5040
SUV,Major,8,101326,Petrol,Manual,13,17350
Car,General,5,83668,Petrol,Automatic,7,4250
Car,Repair,12,116454,Hybrid,Manual,20,23720
SUV,General,5,84900,Diesel,Automatic,9,8300
Car,General,3,36222,Petrol,Manual,4,4740
Scooty,General,1,7619,Petrol,Automatic,1,880
Bike,General,2,19444,Petrol,Manual,3,840
Car,General,6,87229,Diesel,Automatic,9,7600
Bike,Repair,2,11497,Petrol,Manual,2,1860
Bike,Major,9,85945,Petrol,Manual,11,3430
Electric Scooter,Repair,1,6422,EV,Automatic,1,1560
Scooty,Repair,3,19582,Petrol,Automatic,4,2090
SUV,Major,2,31971,Diesel,Manual,3,15500
Bike,Major,4,34092,Petrol,Manual,6,1550
SUV,Repair,13,148420,Diesel,Automatic,17,45060
Electric Scooter,General,3,23042,EV,Automatic,4,380
Car,Major,8,98097,Diesel,Manual,15,13850
Scooty,General,5,26336,Petrol,Automatic,8,820
Bike,Major,3,15704,Petrol,Manual,4,2450
Car,General,11,135453,Diesel,Manual,14,7680
Scooty,Repair,1,9304,Petrol,Automatic,1,1000
SUV,General,3,37941,Diesel,Manual,5,7070
Scooty,General,12,83236,Petrol,Automatic,18,610
Bike,General,11,106969,Petrol,Manual,19,940
Electric Bike,Major,2,16555,EV,Automatic,2,1810
SUV,General,10,161977,EV,Automatic,17,7720
Bike,General,6,33444,Petrol,Automatic,10,920
Electric Scooter,Major,0,500,EV,Automatic,0,1130
Bike,Major,3,16077,Petrol,Manual,3,2180
Car,Repair,6,96044,EV,Automatic,8,9760
Car,General,6,82578,Petrol,Automatic,8,6210
Scooty,Major,3,22456,Petrol,Automatic,4,2100
Bike,General,5,29058,Petrol,Automatic,8,1150
SUV,General,2,22473,Petrol,Manual,3,7300
SUV,General,4,58837,Diesel,Automatic,4,7260
SUV,General,5,80459,Diesel,Manual,7,10180
SUV,Major,8,102793,Diesel,Automatic,11,29870
Car,General,13,142942,Diesel,Automatic,16,6890
Scooty,General,5,23142,Petrol,Automatic,8,580
Bike,General,8,43956,Petrol,Manual,15,1230
SUV,General,5,66771,Diesel,Manual,9,8230
Electric Scooter,General,4,22759,EV,Automatic,6,540
Electric Scooter,General,2,11900,EV,Automatic,2,580
Scooty,General,3,16628,Petrol,Automatic,4,720
Car,General,8,66905,Diesel,Automatic,9,6610
SUV,General,2,17616,Diesel,Automatic,2,8290
Car,General,5,78113,Petrol,Automatic,6,4750
Car,General,10,104191,Petrol,Automatic,14,6420
SUV,Major,2,31434,Diesel,Automatic,3,17250
SUV,General,6,110875,Diesel,Automatic,9,13380
Bike,General,2,15050,Petrol,Manual,3,880
SUV,General,1,16811,Diesel,Automatic,1,8460
Car,Repair,4,56378,Petrol,Automatic,6,12110
Electric Scooter,General,1,6163,EV,Automatic,1,350
SUV,General,2,35669,Diesel,Manual,3,6800
SUV,General,2,29255,Diesel,Automatic,3,7110
Bike,General,4,36007,Petrol,Manual,6,650
Car,Major,7,70271,Hybrid,Manual,11,11590
SUV,General,4,69614,EV,Automatic,6,6230
SUV,General,5,101643,Hybrid,Automatic,8,10530
SUV,Major,8,100134,Diesel,Automatic,15,29580
Scooty,Repair,1,6731,Petrol,Automatic,1,1240
SUV,General,7,121357,Petrol,Manual,8,8640
SUV,General,6,88398,Diesel,Manual,11,10790
Car,General,7,64757,Petrol,Automatic,9,6760
SUV,General,4,75598,Diesel,Manual,6,10080
Car,General,2,22902,Diesel,Manual,2,5710
Electric Scooter,General,0,712,EV,Automatic,0,390
Bike,Major,6,50661,Petrol,Manual,11,2160
Electric Bike,Repair,2,17191,EV,Automatic,3,1340
Car,General,8,104168,Petrol,Manual,10,6090
Scooty,Repair,4,30493,Petrol,Automatic,5,1460
Car,Repair,9,101712,Petrol,Manual,16,13540
Bike,General,6,36649,Petrol,Manual,7,660
Electric Bike,General,4,22937,EV,Automatic,6,660
Car,General,7,83847,Diesel,Automatic,11,7520
Car,Major,7,60197,Petrol,Automatic,13,15160
Bike,General,5,40024,Petrol,Automatic,6,820
SUV,General,3,37341,Petrol,Automatic,5,8320
SUV,General,13,219164,Diesel,Automatic,19,10460
Scooty,Repair,7,52434,Petrol,Automatic,11,3580
Car,General,10,105851,Petrol,Manual,14,5930
Car,General,10,140892,Diesel,Automatic,17,7330
Car,Major,5,77676,Hybrid,Automatic,8,12010
Car,General,7,62971,Petrol,Manual,11,3400
Car,Repair,3,49871,Petrol,Automatic,3,13170
Bike,General,6,37641,Petrol,Automatic,10,810
Scooty,General,5,34891,Petrol,Automatic,9,900
Bike,General,9,79923,Petrol,Automatic,17,1080
SUV,General,0,1860,Diesel,Automatic,0,8870
Car,General,2,34442,Diesel,Automatic,2,6210
Scooty,Repair,5,23838,Petrol,Automatic,7,1450
SUV,General,5,66001,Diesel,Automatic,8,7770
Car,Major,3,32470,Petrol,Manual,4,13820
Car,General,6,92248,EV,Automatic,11,4390
Scooty,Major,4,21864,Petrol,Automatic,6,1320
Car,Major,6,96098,Petrol,Automatic,10,16400
SUV,General,5,76714,Petrol,Automatic,7,5650
Scooty,General,5,31208,Petrol,Automatic,6,570
Car,General,6,85507,EV,Automatic,8,4010
Car,Repair,5,65302,Diesel,Automatic,7,15220
Bike,Repair,9,54783,Petrol,Manual,11,3350
Car,Repair,6,64747,Petrol,Manual,11,16600
SUV,Repair,8,97854,Diesel,Manual,10,25140
SUV,General,4,48680,Hybrid,Automatic,6,6600
Bike,Repair,11,105285,Petrol,Manual,21,6260
Car,Major,3,30081,Hybrid,Manual,3,9320
Electric Scooter,General,2,15309,EV,Automatic,2,390
Electric Bike,Major,1,7700,EV,Automatic,1,1910
Electric Bike,Major,2,10849,EV,Automatic,2,1720
Car,General,11,115733,Petrol,Manual,15,5170
SUV,General,2,23893,Diesel,Manual,2,7720
SUV,Major,10,144986,Diesel,Manual,17,34980
Car,Major,7,98799,Petrol,Automatic,13,11490
Bike,General,4,34569,Petrol,Manual,7,1220
SUV,General,7,121676,Diesel,Automatic,10,8040
Scooty,General,4,28560,Petrol,Automatic,4,890
Scooty,General,7,42381,Petrol,Automatic,10,690
Car,Repair,7,83110,Diesel,Automatic,13,19930
SUV,General,7,143963,Petrol,Automatic,9,9330
SUV,General,4,45461,Diesel,Manual,6,7840
Scooty,General,5,33905,Petrol,Automatic,9,650
Car,Major,10,149977,Diesel,Automatic,14,18610
Scooty,General,1,3478,Petrol,Automatic,1,890
SUV,Major,1,19886,Diesel,Manual,1,15310
SUV,Major,4,50485,Diesel,Automatic,5,21140
Bike,Repair,8,60879,Petrol,Automatic,10,2900
Car,Repair,8,114208,Petrol,Manual,10,17780
Scooty,Major,2,16403,Petrol,Automatic,3,1720
Car,Major,0,1376,Diesel,Automatic,0,14440
Scooty,Major,4,21764,Petrol,Automatic,5,1710
Car,Repair,4,42825,Diesel,Manual,4,12120
Bike,Repair,7,56491,Petrol,Manual,12,4530
Scooty,Major,3,19269,Petrol,Automatic,4,1810
Bike,Major,11,75261,Petrol,Manual,16,2330
Car,General,5,69615,Petrol,Manual,7,5450
Bike,Major,8,47585,Petrol,Automatic,10,2900
Car,Major,8,86103,EV,Automatic,15,12940
SUV,Major,8,160233,Diesel,Manual,10,21130
Scooty,Major,4,19691,Petrol,Automatic,4,2040
SUV,General,9,124217,Diesel,Manual,17,7910
SUV,Major,0,2632,Diesel,Automatic,0,18060
SUV,General,5,99169,Diesel,Automatic,7,10200
Car,General,3,46248,Petrol,Manual,4,3260
Bike,Major,4,41689,Petrol,Manual,7,3240
SUV,General,7,80864,Diesel,Automatic,12,9130
Car,Major,10,129613,Petrol,Automatic,19,12850
Car,Major,5,67434,Petrol,Manual,9,11700
SUV,Major,2,39488,Petrol,Manual,3,14670
SUV,General,12,213168,Petrol,Manual,16,7270
SUV,General,11,109283,Diesel,Manual,17,11450
Bike,Repair,12,92312,Petrol,Manual,14,3690
